contract_id,account_id,pricing_type,included_usage_units,overage_rate,contract_start,contract_end,renewal_date,auto_renew
CTR-002,ACC-002,usage-based,126353,0.0133,2025-04-27,2026-04-27,2026-04-27,True
CTR-003,ACC-003,usage-based,140000,0.05,2024-10-07,2025-10-07,2025-10-07,False
CTR-004,ACC-004,usage-based,120000,0.05,2025-02-08,2026-02-08,2026-02-08,True
CTR-005,ACC-005,usage-based,61767,0.0379,2024-09-18,2025-09-18,2025-09-18,True
CTR-006,ACC-006,usage-based,32480,0.0334,2024-10-19,2025-10-19,2025-10-19,False
CTR-007,ACC-007,usage-based,130000,0.05,2024-10-19,2025-10-19,2025-10-19,False
CTR-008,ACC-008,usage-based,120000,0.05,2024-11-11,2025-11-11,2025-11-11,True
CTR-009,ACC-009,usage-based,150000,0.05,2025-05-07,2026-05-07,2026-05-07,True
CTR-010,ACC-010,usage-based,177806,0.0242,2024-12-13,2025-12-13,2025-12-13,True
CTR-011,ACC-011,hybrid,5587,0.0537,2025-01-19,2026-01-19,2026-01-19,True
CTR-012,ACC-012,usage-based,120000,0.05,2024-12-01,2025-12-01,2025-12-01,False
CTR-013,ACC-013,usage-based,113798,0.0097,2024-09-11,2025-09-11,2025-09-11,False
CTR-014,ACC-014,usage-based,150000,0.05,2025-03-02,2026-03-02,2026-03-02,True
CTR-015,ACC-015,usage-based,91984,0.0131,2024-12-29,2025-12-29,2025-12-29,False
CTR-016,ACC-016,usage-based,120000,0.05,2024-09-02,2025-09-02,2025-09-02,False
CTR-017,ACC-017,usage-based,90000,0.05,2024-10-16,2025-10-16,2025-10-16,True
CTR-018,ACC-018,hybrid,16230,0.0649,2024-08-09,2025-08-09,2025-08-09,False
CTR-019,ACC-019,usage-based,11174,0.0358,2024-11-01,2025-11-01,2025-11-01,True
CTR-020,ACC-020,usage-based,160000,0.05,2025-01-30,2026-01-30,2026-01-30,True
CTR-021,ACC-021,usage-based,90000,0.05,2025-03-20,2026-03-20,2026-03-20,True
CTR-022,ACC-022,usage-based,85744,0.018,2025-03-01,2026-03-01,2026-03-01,True
CTR-023,ACC-023,usage-based,140000,0.05,2024-11-20,2025-11-20,2025-11-20,True
CTR-024,ACC-024,usage-based,48588,0.0413,2025-01-16,2026-01-16,2026-01-16,True
CTR-025,ACC-025,usage-based,6571,0.0532,2025-05-16,2026-05-16,2026-05-16,True
