health_id,account_id,health_score,churn_risk,product_adoption,last_login,nps_score,updated_at
HLT-002,ACC-002,90,low,medium,2025-07-04T07:00:00,16,2025-07-10T02:00:00
HLT-003,ACC-003,93,low,high,2025-07-10T00:00:00,73,2025-07-09T23:00:00
HLT-004,ACC-004,86,low,high,2025-07-09T17:00:00,85,2025-07-10T01:00:00
HLT-005,ACC-005,58,low,high,2025-07-04T09:00:00,63,2025-07-09T23:00:00
HLT-006,ACC-006,72,low,medium,2025-07-08T14:00:00,63,2025-07-10T12:00:00
HLT-007,ACC-007,96,low,high,2025-07-10T00:00:00,73,2025-07-10T05:00:00
HLT-008,ACC-008,92,low,high,2025-07-10T03:00:00,64,2025-07-09T22:00:00
HLT-009,ACC-009,82,low,high,2025-07-10T07:00:00,50,2025-07-10T10:00:00
HLT-010,ACC-010,77,low,low,2025-07-09T20:00:00,-7,2025-07-10T13:00:00
HLT-011,ACC-011,68,low,high,2025-07-08T21:00:00,45,2025-07-09T21:00:00
HLT-012,ACC-012,91,low,high,2025-07-09T07:00:00,89,2025-07-09T23:00:00
HLT-013,ACC-013,60,low,medium,2025-07-09T01:00:00,4,2025-07-09T21:00:00
HLT-014,ACC-014,90,low,high,2025-07-09T10:00:00,68,2025-07-09T22:00:00
HLT-015,ACC-015,68,high,high,2025-07-08T13:00:00,36,2025-07-10T07:00:00
HLT-016,ACC-016,80,low,high,2025-07-09T09:00:00,62,2025-07-09T22:00:00
HLT-017,ACC-017,83,low,high,2025-07-09T11:00:00,58,2025-07-10T06:00:00
HLT-018,ACC-018,55,low,high,2025-07-10T11:00:00,22,2025-07-09T23:00:00
HLT-019,ACC-019,68,low,high,2025-07-08T03:00:00,55,2025-07-09T20:00:00
HLT-020,ACC-020,89,low,high,2025-07-09T20:00:00,59,2025-07-10T13:00:00
HLT-021,ACC-021,91,low,high,2025-07-09T21:00:00,57,2025-07-10T03:00:00
HLT-022,ACC-022,62,low,high,2025-07-06T01:00:00,-6,2025-07-09T20:00:00
HLT-023,ACC-023,82,low,high,2025-07-09T15:00:00,90,2025-07-10T02:00:00
HLT-024,ACC-024,63,low,medium,2025-07-08T00:00:00,6,2025-07-10T02:00:00
HLT-025,ACC-025,94,low,high,2025-07-06T19:00:00,56,2025-07-10T07:00:00
HLT-026,ACC-026,88,low,high,2025-07-10T07:00:00,79,2025-07-10T04:00:00
HLT-027,ACC-027,78,low,high,2025-07-09T13:00:00,50,2025-07-10T04:00:00
HLT-028,ACC-028,85,high,medium,2025-07-09T11:00:00,24,2025-07-09T23:00:00
HLT-029,ACC-029,81,low,high,2025-07-09T08:00:00,61,2025-07-09T23:00:00
HLT-030,ACC-030,67,low,medium,2025-07-07T05:00:00,18,2025-07-10T03:00:00
HLT-031,ACC-031,89,medium,high,2025-07-06T06:00:00,85,2025-07-10T02:00:00
HLT-032,ACC-032,91,low,high,2025-07-09T06:00:00,78,2025-07-10T07:00:00
HLT-033,ACC-033,88,low,low,2025-07-05T12:00:00,-5,2025-07-10T12:00:00
HLT-034,ACC-034,91,low,high,2025-07-09T23:00:00,52,2025-07-09T23:00:00
HLT-035,ACC-035,95,low,high,2025-07-10T03:00:00,67,2025-07-09T23:00:00
HLT-036,ACC-036,80,low,low,2025-07-03T17:00:00,72,2025-07-09T21:00:00
HLT-037,ACC-037,65,low,low,2025-07-04T02:00:00,37,2025-07-10T00:00:00
HLT-038,ACC-038,92,low,high,2025-07-09T15:00:00,77,2025-07-10T07:00:00
HLT-039,ACC-039,44,medium,low,2025-06-28T14:00:00,-5,2025-07-10T04:00:00
HLT-040,ACC-040,83,low,high,2025-07-10T06:00:00,84,2025-07-10T12:00:00
HLT-041,ACC-041,79,high,high,2025-07-04T09:00:00,69,2025-07-10T13:00:00
HLT-042,ACC-042,78,low,high,2025-07-10T05:00:00,86,2025-07-10T01:00:00
HLT-043,ACC-043,55,low,high,2025-07-07T07:00:00,19,2025-07-10T12:00:00
HLT-044,ACC-044,55,medium,medium,2025-07-07T00:00:00,-20,2025-07-10T05:00:00
HLT-045,ACC-045,92,low,high,2025-07-09T23:00:00,59,2025-07-10T11:00:00
HLT-046,ACC-046,59,low,medium,2025-07-03T21:00:00,53,2025-07-10T10:00:00
HLT-047,ACC-047,81,low,high,2025-07-09T21:00:00,65,2025-07-09T21:00:00
HLT-048,ACC-048,24,high,low,2025-06-18T14:00:00,-48,2025-07-10T04:00:00
HLT-049,ACC-049,81,high,high,2025-07-08T04:00:00,43,2025-07-10T09:00:00
HLT-050,ACC-050,62,low,high,2025-07-10T00:00:00,29,2025-07-10T03:00:00
HLT-051,ACC-051,57,low,medium,2025-07-04T15:00:00,30,2025-07-09T23:00:00
HLT-052,ACC-052,86,low,high,2025-07-06T09:00:00,25,2025-07-10T11:00:00
HLT-053,ACC-053,75,medium,high,2025-07-05T08:00:00,79,2025-07-02T14:00:00
HLT-055,ACC-055,74,low,high,2025-07-08T23:00:00,64,2025-07-10T07:00:00
HLT-056,ACC-056,57,medium,medium,2025-07-05T01:00:00,84,2025-07-10T08:00:00
HLT-057,ACC-057,64,medium,medium,2025-07-09T14:00:00,11,2025-07-10T07:00:00
HLT-058,ACC-058,59,high,low,2025-06-16T14:00:00,-11,2025-07-10T06:00:00
HLT-059,ACC-059,56,low,high,2025-07-04T07:00:00,31,2025-07-10T08:00:00
HLT-060,ACC-060,61,low,medium,2025-07-06T02:00:00,6,2025-07-09T22:00:00
HLT-061,ACC-061,72,low,high,2025-07-09T15:00:00,13,2025-07-09T22:00:00
HLT-062,ACC-062,87,low,high,2025-07-05T07:00:00,18,2025-07-10T11:00:00
HLT-063,ACC-063,84,low,high,2025-07-09T14:00:00,50,2025-07-10T05:00:00
HLT-064,ACC-064,57,low,high,2025-07-09T11:00:00,47,2025-07-09T23:00:00
HLT-065,ACC-065,68,low,high,2025-07-09T15:00:00,0,2025-07-10T12:00:00
HLT-066,ACC-066,55,medium,low,2025-07-08T09:00:00,25,2025-06-29T14:00:00
HLT-067,ACC-067,84,low,medium,2025-07-04T16:00:00,66,2025-07-10T03:00:00
HLT-068,ACC-068,61,medium,high,2025-07-06T20:00:00,6,2025-07-09T20:00:00
HLT-069,ACC-069,69,low,high,2025-07-07T06:00:00,83,2025-07-09T22:00:00
HLT-070,ACC-070,56,low,medium,2025-07-06T22:00:00,84,2025-07-10T09:00:00
HLT-071,ACC-071,68,low,medium,2025-07-10T05:00:00,75,2025-07-10T10:00:00
HLT-072,ACC-072,71,high,medium,2025-07-05T15:00:00,51,2025-07-09T21:00:00
HLT-073,ACC-073,89,medium,high,2025-07-06T19:00:00,77,2025-07-09T22:00:00
HLT-074,ACC-074,59,medium,high,2025-07-05T17:00:00,-3,2025-07-10T10:00:00
HLT-075,ACC-075,72,low,medium,2025-07-05T16:00:00,29,2025-07-10T12:00:00
HLT-076,ACC-076,83,low,low,2025-07-10T10:00:00,46,2025-07-10T02:00:00
HLT-077,ACC-077,50,high,low,2025-07-02T14:00:00,8,2025-07-09T20:00:00
HLT-078,ACC-078,55,medium,high,2025-07-05T02:00:00,14,2025-07-10T12:00:00
HLT-079,ACC-079,65,low,high,2025-07-06T00:00:00,77,2025-07-02T14:00:00
HLT-080,ACC-080,92,low,medium,2025-07-07T04:00:00,36,2025-07-10T02:00:00
HLT-081,ACC-081,65,high,medium,2025-07-03T19:00:00,7,2025-07-10T03:00:00
HLT-082,ACC-082,79,low,medium,2025-07-07T04:00:00,-10,2025-07-10T09:00:00
HLT-083,ACC-083,69,medium,low,2025-07-08T03:00:00,42,2025-07-10T12:00:00
HLT-084,ACC-084,64,medium,medium,2025-07-09T07:00:00,42,2025-07-10T03:00:00
HLT-085,ACC-085,62,low,low,2025-07-05T10:00:00,-3,2025-07-10T02:00:00
HLT-086,ACC-086,89,low,high,2025-07-06T14:00:00,42,2025-07-10T05:00:00
HLT-087,ACC-087,46,high,medium,2025-07-06T23:00:00,-8,2025-07-10T07:00:00
HLT-088,ACC-088,57,high,medium,2025-07-10T08:00:00,77,2025-07-09T21:00:00
HLT-089,ACC-089,76,medium,high,2025-07-09T14:00:00,23,2025-07-09T23:00:00
HLT-090,ACC-090,67,low,medium,2025-07-07T17:00:00,82,2025-07-10T02:00:00
HLT-091,ACC-091,93,medium,medium,2025-07-07T02:00:00,56,2025-07-10T09:00:00
HLT-092,ACC-092,78,medium,low,2025-07-06T22:00:00,29,2025-06-27T14:00:00
HLT-093,ACC-093,55,medium,medium,2025-07-05T07:00:00,62,2025-07-10T02:00:00
HLT-094,ACC-094,89,medium,high,2025-07-10T13:00:00,70,2025-07-09T22:00:00
HLT-095,ACC-095,30,high,low,2025-06-14T14:00:00,-54,2025-07-10T03:00:00
HLT-096,ACC-096,62,high,low,2025-07-01T14:00:00,-7,2025-07-10T13:00:00
HLT-097,ACC-097,64,low,medium,2025-07-04T22:00:00,64,2025-07-10T06:00:00
HLT-098,ACC-098,86,high,high,2025-07-06T23:00:00,48,2025-07-09T22:00:00
HLT-099,ACC-099,67,low,low,2025-07-08T17:00:00,23,2025-07-09T23:00:00
HLT-100,ACC-100,90,low,low,2025-07-07T03:00:00,51,2025-07-10T02:00:00
HLT-101,ACC-101,56,low,medium,2025-07-09T10:00:00,79,2025-07-10T08:00:00
HLT-102,ACC-102,68,low,medium,2025-07-09T15:00:00,79,2025-07-10T13:00:00
HLT-103,ACC-103,58,low,medium,2025-07-08T09:00:00,60,2025-07-10T07:00:00
HLT-104,ACC-104,58,low,medium,2025-07-03T15:00:00,35,2025-07-10T13:00:00
HLT-105,ACC-105,62,medium,high,2025-07-07T05:00:00,20,2025-06-27T14:00:00
HLT-106,ACC-106,89,medium,low,2025-07-07T19:00:00,27,2025-07-10T07:00:00
HLT-108,ACC-108,70,low,low,2025-07-07T04:00:00,64,2025-07-10T09:00:00
HLT-109,ACC-109,78,medium,medium,2025-07-06T03:00:00,42,2025-07-10T09:00:00
HLT-110,ACC-110,76,medium,high,2025-07-06T12:00:00,14,2025-07-10T05:00:00
HLT-111,ACC-111,75,medium,low,2025-07-09T06:00:00,79,2025-07-09T21:00:00
HLT-112,ACC-112,85,low,medium,2025-07-05T00:00:00,49,2025-07-10T07:00:00
HLT-113,ACC-113,72,medium,medium,2025-07-04T08:00:00,-9,2025-07-10T06:00:00
HLT-114,ACC-114,90,low,low,2025-07-10T10:00:00,16,2025-07-10T13:00:00
HLT-115,ACC-115,57,high,low,2025-06-30T14:00:00,-24,2025-07-10T06:00:00
HLT-116,ACC-116,90,medium,high,2025-07-04T16:00:00,59,2025-07-10T10:00:00
HLT-117,ACC-117,68,medium,medium,2025-07-05T02:00:00,40,2025-07-09T20:00:00
HLT-118,ACC-118,89,low,high,2025-07-05T22:00:00,37,2025-06-26T14:00:00
HLT-119,ACC-119,56,low,medium,2025-07-09T04:00:00,79,2025-07-09T21:00:00
HLT-120,ACC-120,61,low,medium,2025-07-10T06:00:00,-10,2025-07-10T10:00:00
HLT-121,ACC-121,57,medium,medium,2025-07-06T19:00:00,23,2025-07-10T04:00:00
HLT-122,ACC-122,68,low,high,2025-07-04T17:00:00,12,2025-07-10T02:00:00
HLT-123,ACC-123,56,medium,medium,2025-07-05T23:00:00,45,2025-07-10T05:00:00
HLT-124,ACC-124,62,medium,high,2025-07-10T10:00:00,43,2025-07-10T03:00:00
HLT-125,ACC-125,56,medium,high,2025-07-04T04:00:00,63,2025-07-10T11:00:00
HLT-126,ACC-126,72,low,medium,2025-07-05T15:00:00,85,2025-07-10T01:00:00
HLT-127,ACC-127,59,low,medium,2025-07-07T15:00:00,0,2025-07-10T05:00:00
HLT-128,ACC-128,67,medium,low,2025-07-06T01:00:00,47,2025-07-10T09:00:00
HLT-129,ACC-129,79,low,medium,2025-07-09T01:00:00,9,2025-07-10T09:00:00
HLT-130,ACC-130,61,medium,medium,2025-07-09T07:00:00,-12,2025-07-10T07:00:00
HLT-131,ACC-131,92,low,medium,2025-07-08T23:00:00,24,2025-06-26T14:00:00
HLT-132,ACC-132,83,medium,medium,2025-07-04T00:00:00,21,2025-07-10T01:00:00
HLT-133,ACC-133,60,low,low,2025-07-06T00:00:00,21,2025-07-10T05:00:00
HLT-134,ACC-134,38,medium,low,2025-06-18T14:00:00,-28,2025-07-10T13:00:00
HLT-135,ACC-135,63,low,high,2025-07-04T11:00:00,71,2025-07-09T22:00:00
HLT-136,ACC-136,66,low,high,2025-07-10T09:00:00,78,2025-07-09T21:00:00
HLT-137,ACC-137,92,low,high,2025-07-08T17:00:00,42,2025-07-10T09:00:00
HLT-138,ACC-138,69,medium,high,2025-07-07T03:00:00,2,2025-07-10T10:00:00
HLT-139,ACC-139,61,medium,medium,2025-07-10T02:00:00,75,2025-07-10T06:00:00
HLT-140,ACC-140,90,low,medium,2025-07-10T10:00:00,75,2025-07-09T20:00:00
HLT-141,ACC-141,72,low,low,2025-07-06T11:00:00,42,2025-07-10T04:00:00
HLT-142,ACC-142,45,high,low,2025-06-12T14:00:00,-14,2025-07-10T10:00:00
HLT-143,ACC-143,81,medium,medium,2025-07-05T01:00:00,29,2025-07-10T08:00:00
HLT-144,ACC-144,62,low,high,2025-07-06T20:00:00,61,2025-07-01T14:00:00
HLT-145,ACC-145,61,low,low,2025-07-05T10:00:00,21,2025-07-10T03:00:00
