invoice_id,account_id,billing_period_start,billing_period_end,base_amount,usage_amount,total_amount,status,issued_at
INV-002-202507,ACC-002,2025-06-10,2025-07-10,19270.63,0,19270.63,paid,2025-07-08T14:00:00
INV-003-202507,ACC-003,2025-06-10,2025-07-10,16241.55,0.0,16241.55,paid,2025-07-06T14:00:00
INV-004-202507,ACC-004,2025-06-10,2025-07-10,38385.21,6250.0,44635.21,past_due,2025-07-04T14:00:00
INV-005-202507,ACC-005,2025-06-10,2025-07-10,7626.5,0,7626.5,paid,2025-07-08T14:00:00
INV-006-202507,ACC-006,2025-06-10,2025-07-10,7621.76,0,7621.76,paid,2025-07-06T14:00:00
INV-007-202507,ACC-007,2025-06-10,2025-07-10,19029.85,0.0,19029.85,paid,2025-07-05T14:00:00
INV-008-202507,ACC-008,2025-06-10,2025-07-10,14324.36,5666.65,19991.01,paid,2025-07-07T14:00:00
INV-009-202507,ACC-009,2025-06-10,2025-07-10,27215.76,0.0,27215.76,paid,2025-07-08T14:00:00
INV-010-202507,ACC-010,2025-06-10,2025-07-10,17898.13,0,17898.13,pending,2025-07-06T14:00:00
INV-011-202507,ACC-011,2025-06-10,2025-07-10,3121.7,0,3121.7,paid,2025-07-08T14:00:00
INV-012-202507,ACC-012,2025-06-10,2025-07-10,5912.7,5166.65,11079.35,paid,2025-07-03T14:00:00
INV-013-202507,ACC-013,2025-06-10,2025-07-10,54027.27,0,54027.27,paid,2025-07-09T14:00:00
INV-014-202507,ACC-014,2025-06-10,2025-07-10,45380.28,0.0,45380.28,paid,2025-07-09T14:00:00
INV-015-202507,ACC-015,2025-06-10,2025-07-10,53557.97,0,53557.97,pending,2025-07-06T14:00:00
INV-016-202507,ACC-016,2025-06-10,2025-07-10,47013.07,0.0,47013.07,paid,2025-07-06T14:00:00
INV-017-202507,ACC-017,2025-06-10,2025-07-10,28143.88,4583.35,32727.23,paid,2025-07-05T14:00:00
INV-018-202507,ACC-018,2025-06-10,2025-07-10,2273.68,0,2273.68,paid,2025-07-06T14:00:00
INV-019-202507,ACC-019,2025-06-10,2025-07-10,2488.08,0,2488.08,paid,2025-07-05T14:00:00
INV-020-202507,ACC-020,2025-06-10,2025-07-10,11494.83,0.0,11494.83,past_due,2025-07-08T14:00:00
INV-021-202507,ACC-021,2025-06-10,2025-07-10,24138.37,4166.65,28305.02,paid,2025-07-09T14:00:00
INV-022-202507,ACC-022,2025-06-10,2025-07-10,16963.18,0,16963.18,paid,2025-07-04T14:00:00
INV-023-202507,ACC-023,2025-06-10,2025-07-10,43353.38,0.0,43353.38,paid,2025-07-06T14:00:00
INV-024-202507,ACC-024,2025-06-10,2025-07-10,18275.8,0,18275.8,pending,2025-07-05T14:00:00
INV-025-202507,ACC-025,2025-06-10,2025-07-10,699.2,0,699.2,paid,2025-07-06T14:00:00
INV-026-202507,ACC-026,2025-06-10,2025-07-10,19648.01,0.0,19648.01,paid,2025-07-07T14:00:00
INV-027-202507,ACC-027,2025-06-10,2025-07-10,45087.17,3750.0,48837.17,paid,2025-07-05T14:00:00
INV-028-202507,ACC-028,2025-06-10,2025-07-10,53026.16,0,53026.16,paid,2025-07-03T14:00:00
INV-029-202507,ACC-029,2025-06-10,2025-07-10,30579.74,0.0,30579.74,paid,2025-07-08T14:00:00
INV-030-202507,ACC-030,2025-06-10,2025-07-10,3269.07,0,3269.07,paid,2025-07-09T14:00:00
INV-031-202507,ACC-031,2025-06-10,2025-07-10,3156.38,0,3156.38,paid,2025-07-05T14:00:00
INV-032-202507,ACC-032,2025-06-10,2025-07-10,17546.42,0.0,17546.42,paid,2025-07-09T14:00:00
INV-033-202507,ACC-033,2025-06-10,2025-07-10,46691.76,0,46691.76,pending,2025-07-03T14:00:00
INV-034-202507,ACC-034,2025-06-10,2025-07-10,37908.48,3083.35,40991.83,paid,2025-07-03T14:00:00
INV-035-202507,ACC-035,2025-06-10,2025-07-10,23824.92,0.0,23824.92,pending,2025-07-07T14:00:00
INV-036-202507,ACC-036,2025-06-10,2025-07-10,18261.38,0,18261.38,pending,2025-07-09T14:00:00
INV-037-202507,ACC-037,2025-06-10,2025-07-10,7177.27,0,7177.27,paid,2025-07-04T14:00:00
INV-038-202507,ACC-038,2025-06-10,2025-07-10,24588.11,0.0,24588.11,paid,2025-07-06T14:00:00
INV-039-202507,ACC-039,2025-06-10,2025-07-10,833.48,0,833.48,paid,2025-07-07T14:00:00
INV-040-202507,ACC-040,2025-06-10,2025-07-10,26603.22,2333.35,28936.57,paid,2025-07-08T14:00:00
INV-041-202507,ACC-041,2025-06-10,2025-07-10,53979.76,0,53979.76,paid,2025-07-03T14:00:00
INV-042-202507,ACC-042,2025-06-10,2025-07-10,34707.21,0.0,34707.21,past_due,2025-07-07T14:00:00
INV-043-202507,ACC-043,2025-06-10,2025-07-10,32960.47,0,32960.47,paid,2025-07-03T14:00:00
INV-044-202507,ACC-044,2025-06-10,2025-07-10,820.15,0,820.15,paid,2025-07-08T14:00:00
INV-045-202507,ACC-045,2025-06-10,2025-07-10,50903.02,0.0,50903.02,paid,2025-07-03T14:00:00
INV-046-202507,ACC-046,2025-06-10,2025-07-10,5579.37,0,5579.37,paid,2025-07-03T14:00:00
