spend_id,campaign_name,channel,spend_amount,attributed_revenue,leads_generated,spend_date,source_system
51928562-112,Customer Proof Campaign,email,808.77,1907.9,74,2025-07-10,marketing_platform
dd37d0f4-e1d,RevOps Field Dinner,webinars,4099.57,1872.6,7,2025-07-10,marketing_platform
cd58f649-691,Partner Co-Marketing,webinars,6511.94,21849.57,44,2025-07-10,marketing_platform
ae0be3cb-3a0,LinkedIn ABM Campaign,content_marketing,6416.89,20884.73,49,2025-07-10,marketing_platform
a0236df1-2fc,Cloud Analytics Content Hub,email,1519.3,4890.67,30,2025-07-10,marketing_platform
44b2c7d0-fe5,Usage Expansion Plays,events,8493.54,5462.22,18,2025-07-10,marketing_platform
90add311-3ef,Product-Led Growth Retargeting,content_marketing,3573.25,3866.87,15,2025-07-10,marketing_platform
a1653798-6be,Google Ads - Brand,email,9301.55,24984.42,14,2025-07-10,marketing_platform
8cfdf811-2bc,Competitive Takeout,linkedin,2512.72,2680.53,36,2025-07-10,marketing_platform
871daa35-3a5,Email Nurture - Enterprise,webinars,878.45,2501.66,24,2025-07-10,marketing_platform
140030a8-366,Email Nurture - Enterprise,email,3227.02,6249.78,67,2025-07-09,marketing_platform
a8db18af-614,Cloud Analytics Content Hub,linkedin,381.85,1214.58,51,2025-07-09,marketing_platform
3bfdf77d-a02,Usage Expansion Plays,content_marketing,1473.18,4994.07,56,2025-07-09,marketing_platform
012019ce-0a0,Analyst Report Sponsorship,linkedin,1654.09,3545.88,2,2025-07-09,marketing_platform
dc638993-2c1,Developer Community Events,content_marketing,507.86,577.49,28,2025-07-09,marketing_platform
8ec1a934-6bc,Partner Co-Marketing,email,9131.52,18211.7,18,2025-07-09,marketing_platform
9a6191ad-e43,Competitive Takeout,linkedin,9381.03,21779.75,37,2025-07-09,marketing_platform
bacfce42-8ad,Google Ads - Product,email,7612.42,7654.33,6,2025-07-09,marketing_platform
3696a9a1-3ea,RevOps Field Dinner,linkedin,7740.18,13451.64,30,2025-07-09,marketing_platform
1ca2c67f-e2b,Enterprise Webinar Series,content_marketing,4527.85,6368.57,48,2025-07-08,marketing_platform
d1d94fa5-397,Finance Leader Roundtable,google_ads,7265.84,8675.36,16,2025-07-08,marketing_platform
6282abe8-38f,Analyst Report Sponsorship,content_marketing,7023.82,6079.18,31,2025-07-08,marketing_platform
e531f063-a1c,Usage Expansion Plays,email,3781.45,3362.54,24,2025-07-08,marketing_platform
29edef8d-453,Developer Community Events,email,4969.65,6181.98,73,2025-07-08,marketing_platform
820089e0-1ab,Customer Proof Campaign,webinars,7551.35,18192.59,66,2025-07-08,marketing_platform
639c26ae-af4,Email Nurture - Enterprise,events,316.01,330.16,22,2025-07-08,marketing_platform
367c8a9a-98b,RevOps Field Dinner,google_ads,8509.16,18492.39,71,2025-07-08,marketing_platform
2f23f204-0cc,Annual User Conference,email,2776.36,1328.94,58,2025-07-08,marketing_platform
fd9045fa-5d0,Product-Led Growth Retargeting,email,3696.15,2141.61,22,2025-07-08,marketing_platform
96fb61bc-6f3,Competitive Takeout,google_ads,5406.8,9172.55,11,2025-07-08,marketing_platform
7b35169c-aaf,Google Ads - Brand,content_marketing,5912.82,19689.0,63,2025-07-08,marketing_platform
43ff66c6-cc2,Google Ads - Brand,email,3755.01,5413.33,1,2025-07-07,marketing_platform
0369bcd1-50a,Analyst Report Sponsorship,email,7525.72,11236.11,53,2025-07-07,marketing_platform
46d0bb67-9ce,Email Nurture - Enterprise,content_marketing,2904.59,7719.19,19,2025-07-07,marketing_platform
8b92d680-c50,RevOps Field Dinner,email,7820.48,5073.79,46,2025-07-07,marketing_platform
d33cc674-811,Product-Led Growth Retargeting,google_ads,9046.14,12205.53,69,2025-07-07,marketing_platform
60a1ca56-c97,Enterprise Webinar Series,events,2135.28,1534.42,46,2025-07-07,marketing_platform
b9e9a60b-f2d,Partner Co-Marketing,webinars,4914.69,6843.07,39,2025-07-07,marketing_platform
9faec4c6-3b0,RevOps Field Dinner,email,2551.61,6950.68,32,2025-07-06,marketing_platform
e0182be8-b22,Google Ads - Product,events,4349.57,13058.52,17,2025-07-06,marketing_platform
ba7586d4-e15,Competitive Takeout,webinars,5062.28,12301.03,12,2025-07-06,marketing_platform
c93ffa88-bd4,Developer Community Events,events,8329.62,28022.38,16,2025-07-06,marketing_platform
0f4dfab3-d72,Enterprise Webinar Series,google_ads,7791.16,6549.74,21,2025-07-06,marketing_platform
1f302f35-189,Partner Co-Marketing,webinars,9061.45,29335.46,57,2025-07-06,marketing_platform
6c65e2e8-0a2,LinkedIn ABM Campaign,webinars,7279.97,13795.6,11,2025-07-06,marketing_platform
c9e21248-ec4,Email Nurture - Enterprise,email,4115.82,7076.09,62,2025-07-05,marketing_platform
e0a048d9-b6e,Product-Led Growth Retargeting,events,1349.31,2030.78,2,2025-07-05,marketing_platform
