opportunity_id,account_id,opportunity_name,stage,amount,close_date,type,owner,created_at
OPP-REN-002,ACC-002,CloudPeak Analytics - Annual Renewal,proposal,231247.59,2025-09-18,renewal,Ana Rodriguez,2025-06-01T14:00:00
OPP-REN-003,ACC-003,MetricFlow Inc - Annual Renewal,negotiation,194898.61,2025-09-23,renewal,Marcus Johnson,2025-06-06T14:00:00
OPP-EXP-003,ACC-003,MetricFlow Inc - Usage Expansion,prospecting,126955.49,2025-11-09,expansion,Marcus Johnson,2025-06-28T14:00:00
OPP-REN-004,ACC-004,SignalPath Systems - Annual Renewal,qualification,460622.53,2025-12-19,renewal,Ana Rodriguez,2025-06-16T14:00:00
OPP-REN-005,ACC-005,NexusData Solutions - Annual Renewal,negotiation,91517.95,2025-09-26,renewal,Sarah Chen,2025-04-13T14:00:00
OPP-REN-006,ACC-006,PulsePoint Technologies - Annual Renewal,qualification,91461.1,2025-12-07,renewal,Marcus Johnson,2025-05-22T14:00:00
OPP-REN-007,ACC-007,StreamForge Labs - Annual Renewal,proposal,228358.19,2025-12-17,renewal,Priya Patel,2025-05-27T14:00:00
OPP-EXP-007,ACC-007,StreamForge Labs - Usage Expansion,proposal,88468.65,2025-08-12,expansion,Priya Patel,2025-06-27T14:00:00
OPP-REN-008,ACC-008,DataBridge AI - Annual Renewal,proposal,171892.26,2025-08-12,renewal,Ana Rodriguez,2025-05-16T14:00:00
OPP-REN-009,ACC-009,FlowState Computing - Annual Renewal,negotiation,326589.14,2025-10-09,renewal,Ana Rodriguez,2025-04-20T14:00:00
OPP-EXP-009,ACC-009,FlowState Computing - Usage Expansion,prospecting,191712.33,2025-08-12,expansion,Ana Rodriguez,2025-06-12T14:00:00
OPP-REN-010,ACC-010,Quantum Metrics Corp - Annual Renewal,negotiation,214777.57,2025-11-07,renewal,Marcus Johnson,2025-06-20T14:00:00
OPP-REN-011,ACC-011,TerraData Systems - Annual Renewal,proposal,37460.44,2025-08-15,renewal,Priya Patel,2025-04-17T14:00:00
OPP-REN-012,ACC-012,AeroSync Inc - Annual Renewal,qualification,70952.43,2025-09-30,renewal,Priya Patel,2025-05-23T14:00:00
OPP-REN-013,ACC-013,VortexCloud Solutions - Annual Renewal,negotiation,648327.29,2025-09-20,renewal,Sarah Chen,2025-05-07T14:00:00
OPP-EXP-013,ACC-013,VortexCloud Solutions - Usage Expansion,qualification,447041.68,2025-09-24,expansion,Sarah Chen,2025-05-26T14:00:00
OPP-REN-014,ACC-014,PrismAnalytics Co - Annual Renewal,qualification,544563.4,2025-11-15,renewal,Marcus Johnson,2025-05-31T14:00:00
OPP-EXP-014,ACC-014,PrismAnalytics Co - Usage Expansion,qualification,257816.23,2025-10-13,expansion,Marcus Johnson,2025-06-16T14:00:00
OPP-REN-015,ACC-015,CipherStream Tech - Annual Renewal,negotiation,642695.59,2025-11-14,renewal,Ana Rodriguez,2025-06-20T14:00:00
OPP-REN-016,ACC-016,HyperScale Data - Annual Renewal,proposal,564156.79,2025-10-23,renewal,Sarah Chen,2025-05-08T14:00:00
OPP-EXP-016,ACC-016,HyperScale Data - Usage Expansion,qualification,469910.81,2025-12-06,expansion,Sarah Chen,2025-06-06T14:00:00
OPP-REN-017,ACC-017,MeridianFlow Inc - Annual Renewal,proposal,337726.52,2025-09-19,renewal,Priya Patel,2025-05-06T14:00:00
OPP-REN-018,ACC-018,ApexCloud Systems - Annual Renewal,negotiation,27284.12,2025-09-02,renewal,Marcus Johnson,2025-05-07T14:00:00
OPP-REN-019,ACC-019,NovaMetrics Labs - Annual Renewal,qualification,29856.96,2025-10-26,renewal,Priya Patel,2025-04-26T14:00:00
OPP-REN-020,ACC-020,ZenithData Corp - Annual Renewal,proposal,137937.96,2025-10-14,renewal,Ana Rodriguez,2025-04-18T14:00:00
OPP-EXP-020,ACC-020,ZenithData Corp - Usage Expansion,proposal,26406.94,2025-10-22,expansion,Ana Rodriguez,2025-06-30T14:00:00
OPP-REN-021,ACC-021,SynapseStream Inc - Annual Renewal,proposal,289660.38,2025-08-16,renewal,Marcus Johnson,2025-05-17T14:00:00
OPP-REN-022,ACC-022,VertexAnalytics Co - Annual Renewal,negotiation,203558.19,2025-09-13,renewal,Sarah Chen,2025-05-08T14:00:00
OPP-REN-023,ACC-023,PolarisData Tech - Annual Renewal,qualification,520240.61,2025-10-10,renewal,Ana Rodriguez,2025-06-17T14:00:00
